file_name,doc_type,provider,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,cost_usd,duration_ms,cascade_triggered,timestamp
BELSIL-CDM-3526-VP-TDS-en-2024.06.16.pdf,SDS,google,gemini-2.5-flash,2206,1265,0,0,3471,0.00109,19353,False,1770743727.5779278
BELSIL® CDM 3526 VP ALKYL-MODIFIED SILICONE-SDS-en.pdf,SDS,google,gemini-2.5-flash,9355,2816,0,0,12171,0.003093,38478,False,1770743767.7710578
BELSIL® CDM 3526 VP SOLUBILITY AND COMPATIBILITY.pdf,Brochure,google,gemini-2.5-flash,2668,861,0,0,3529,0.000917,11519,False,1770743780.2897122
BELSIL DM 6101 E-SDS-en.pdf,SDS,google,gemini-2.5-flash,8406,2245,0,0,10651,0.002608,23796,False,1770743805.426913
BELSIL-DM-6101-E-TDS-en-2024.06.16.pdf,SDS,google,gemini-2.5-flash,2256,1865,0,0,4121,0.001457,34197,False,1770743840.058898
ELASTOSIL-LR-304040-AB-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3334,2009,0,0,5343,0.001705,24733,False,1770743865.3597481
ELASTOSIL® LR 3040:40 A-SDS-en.pdf,SDS,google,gemini-2.5-flash,7639,2030,0,1011,10680,0.002402,24600,False,1770743891.553024
ELASTOSIL® LR 3040:40 A:B-RPI-en.pdf,SDS,google,gemini-2.5-flash,4122,4755,0,0,8877,0.003471,40405,False,1770743932.453996
ELASTOSIL® LR 3040:40 B-SDS-en.pdf,SDS,google,gemini-2.5-flash,8426,2422,0,0,10848,0.002717,17722,False,1770743951.879194
ELASTOSIL-LR-306530-AB-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3067,1879,0,0,4946,0.001587,15362,False,1770743967.74501
ELASTOSIL® LR 3065:30 A-SDS-en.pdf,SDS,google,gemini-2.5-flash,7589,2318,0,0,9907,0.002529,28754,False,1770743998.0334988
ELASTOSIL® LR 3065:30 A:B-RPI-en.pdf,SDS,google,gemini-2.5-flash,2877,881,0,0,3758,0.00096,15878,False,1770744014.329485
ELASTOSIL® LR 3065:30 B-SDS-en.pdf,SDS,google,gemini-2.5-flash,8200,1854,0,0,10054,0.002342,22122,False,1770744037.9738638
ELASTOSIL-LR-306550-AB-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3071,2114,0,0,5185,0.001729,14245,False,1770744052.741323
ELASTOSIL® LR 3065:50 A-SDS-en.pdf,SDS,google,gemini-2.5-flash,7577,2362,0,0,9939,0.002554,30749,False,1770744085.0115242
ELASTOSIL® LR 3065:50 A:B-RPI-en.pdf,SDS,google,gemini-2.5-flash,2877,1892,0,0,4769,0.001567,32262,False,1770744117.6902559
ELASTOSIL® LR 3065:50 B-SDS-en.pdf,SDS,google,gemini-2.5-flash,8396,2344,0,0,10740,0.002666,17977,False,1770744137.258374
ELASTOSIL-LR-306640-AB-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3074,2346,0,0,5420,0.001869,24433,False,1770744162.181229
ELASTOSIL® LR 3066:40 A-SDS-en.pdf,SDS,google,gemini-2.5-flash,7625,2325,0,0,9950,0.002539,25823,False,1770744189.11008
ELASTOSIL® LR 3066:40 A:B-RPI-en.pdf,SDS,google,gemini-2.5-flash,3949,3665,0,1000,8614,0.002829,38930,False,1770744228.527949
ELASTOSIL® LR 3066:40 B-SDS-en.pdf,SDS,google,gemini-2.5-flash,8030,2085,0,0,10115,0.002456,18013,False,1770744247.617107
EL LR 3675:30 A-SDS-en.pdf,SDS,google,gemini-2.5-flash,7623,3246,0,0,10869,0.003091,40468,False,1770744289.47891
EL LR 3675:30 B-SDS-en.pdf,SDS,google,gemini-2.5-flash,9366,2526,0,0,11892,0.00292,30768,False,1770744321.821428
ELASTOSIL-LR-367530-AB-TDS-en-2024.06.16.pdf,Brochure,google,gemini-2.5-flash,3160,2014,0,0,5174,0.001682,25621,False,1770744347.972779
ELASTOSIL-4100-TDS-en-2025.07.22.pdf,Brochure,google,gemini-2.5-flash,3989,3595,0,0,7584,0.002755,35704,False,1770744384.2186902
Elastosil-4100-SDS-en.pdf,SDS,google,gemini-2.5-flash,17126,3356,0,0,20482,0.004582,38043,False,1770744424.627666
ELASTOSIL-4300-TDS-en-2024.07.31.pdf,Brochure,google,gemini-2.5-flash,3468,2155,0,0,5623,0.001813,17505,False,1770744442.652969
Elastosil-4300-SDS-en.pdf,SDS,google,gemini-2.5-flash,8582,3214,0,0,11796,0.003216,24941,False,1770744469.0482671
ELASTOSIL-4710-TDS-en-2024.07.31.pdf,Brochure,google,gemini-2.5-flash,3705,3315,0,0,7020,0.002545,32063,False,1770744501.6407418
Elastosil-4710-SDS-en.pdf,SDS,google,gemini-2.5-flash,8672,3161,0,0,11833,0.003197,33123,False,1770744536.177055
