file_name,brand,product_folder,doc_type,success,product_name,cas_numbers,missing_count,provider,model,input_tokens,output_tokens,cache_read_tokens,duration_ms,error,warnings
BELSIL-CDM-3526-VP-TDS-en-2024.06.16.pdf,BELSIL,BELSIL® CDM 3526 VP,SDS,True,BELSIL® CDM 3526 VP,,19,google,gemini-2.5-flash,2206,1265,0,19459,,"The document was identified as an SDS by the prompt, but its content and structure resemble a Technical Data Sheet (TDS) or Product Information Sheet, lacking standard SDS sections (e.g., GHS, CAS, UN, Inventories). This has resulted in many SDS-specific fields being null.; Values from the 'Technical data' table (Appearance, Color, INCI name, Melting point) are explicitly stated as 'only intended as a guide and should not be used in preparing specifications', therefore 'is_specification' is set to false for these values."
BELSIL® CDM 3526 VP ALKYL-MODIFIED SILICONE-SDS-en.pdf,BELSIL,BELSIL® CDM 3526 VP,SDS,True,BELSIL® CDM 3526 VP ALKYL-MODIFIED SILICONE,"541-02-6, 540-97-6",9,google,gemini-2.5-flash,9355,2816,0,39887,,South Korea (AREC) inventory status is not clearly stated as 'listed/complies' or 'not listed'; further information is required.
BELSIL® CDM 3526 VP SOLUBILITY AND COMPATIBILITY.pdf,BELSIL,BELSIL® CDM 3526 VP,Brochure,True,BELSIL® CDM 3526 VP,,24,google,gemini-2.5-flash,2668,861,0,12217,,"The document mentions 'All miscibility trials w ere made at 70 °C', but this refers to a test condition for solubility, not a general temperature range for the product itself."
BELSIL DM 6101 E-SDS-en.pdf,BELSIL,BELSIL® DM 6101 E,SDS,True,"BELSIL DM 6101 E 0,5KG BOTTLE PE",69011-36-5,11,google,gemini-2.5-flash,8406,2245,0,24832,,
BELSIL-DM-6101-E-TDS-en-2024.06.16.pdf,BELSIL,BELSIL® DM 6101 E,SDS,True,BELSIL® DM 6101 E,,17,google,gemini-2.5-flash,2256,1865,0,34327,,"The document provided is a Technical Data Sheet (TDS) or Product Information Sheet, not a Safety Data Sheet (SDS) as indicated in the prompt. Therefore, many SDS-specific fields (e.g., CAS Numbers, GHS Statements, UN Number, Density, Flash Point, Global Inventories, Certifications) could not be extracted as they are not present in this document type.; Grade classification 'Cosmetic' is inferred based on the product's brand (BELSIL for personal care) and stated applications (shampoos, conditioners, hair treatments).; The specific duration of 'shelf_life' is not provided in the document; it only states that the 'Best use before end' date is shown on the product label."
ELASTOSIL-LR-304040-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,Brochure,True,ELASTOSIL® LR 3040/40 A/B,,15,google,gemini-2.5-flash,3334,2009,0,24995,,
ELASTOSIL® LR 3040:40 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,SDS,True,ELASTOSIL® LR 3040/40 A,,13,google,gemini-2.5-flash,7639,2030,1011,25889,,
ELASTOSIL® LR 3040:40 A:B-RPI-en.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,SDS,True,ELASTOSIL® LR 3040/40 A/B,,21,google,gemini-2.5-flash,4122,4755,0,40598,,"The provided document is a 'Regulatory Product Information' (RPI) document, not a 'Safety Data Sheet' (SDS) as implied by the prompt's header. Therefore, many SDS-specific fields (e.g., CAS numbers, GHS statements, UN number, physical properties, chemical components, global inventories) are not present in this document.; The 'grade' is inferred from compliance with pharmaceutical regulations, not explicitly stated as a grade classification.; Information regarding European Pharmacopoeia tests is explicitly stated not to be a specification and not part of regular quality control."
ELASTOSIL® LR 3040:40 B-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3040:40 A:B,SDS,True,ELASTOSIL® LR 3040/40 B,,13,google,gemini-2.5-flash,8426,2422,0,19120,,No GHS Hazard Statements (H-codes) or Precautionary Statements (P-codes) were found as the product is classified as 'Not a hazardous substance or mixture' and 'No labeling according to GHS required' in Section 2.; No UN Number was found as the product is 'Not regulated for transport' in Section 14.
ELASTOSIL-LR-306530-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,Brochure,True,ELASTOSIL® LR 3065/30 A/B,,16,google,gemini-2.5-flash,3067,1879,0,15560,,"The document explicitly states 'These figures are only intended as a guide and should not be used in preparing specifications.' for all technical data tables. Therefore, values extracted from these tables are marked with confidence 'low' and 'is_specification: false'."
ELASTOSIL® LR 3065:30 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,SDS,True,ELASTOSIL® LR 3065/30 A,,12,google,gemini-2.5-flash,7589,2318,0,29984,,
ELASTOSIL® LR 3065:30 A:B-RPI-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,SDS,True,ELASTOSIL® LR 3065/30 A/B,,24,google,gemini-2.5-flash,2877,881,0,15991,,"This document is a Regulatory Product Information (RPI) document, not a Safety Data Sheet (SDS). Many SDS-specific fields are not present.; The provided URL is for certificates, not the product itself."
ELASTOSIL® LR 3065:30 B-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:30 A:B,SDS,True,ELASTOSIL® LR 3065/30 B,,11,google,gemini-2.5-flash,8200,1854,0,23343,,
ELASTOSIL-LR-306550-AB-TDS-en-2024.06.16.pdf,ELASTOSIL,ELASTOSIL® LR 3065:50 A:B,Brochure,True,ELASTOSIL® LR 3065/50 A/B,,12,google,gemini-2.5-flash,3071,2114,0,14463,,"The product URL provided is a general Wacker website, not a direct product page.; Values from 'Technical data' tables (e.g., Density) are explicitly stated as guides and not for specifications, hence confidence is 'medium' and is_specification is 'false'."
ELASTOSIL® LR 3065:50 A-SDS-en.pdf,ELASTOSIL,ELASTOSIL® LR 3065:50 A:B,SDS,True,ELASTOSIL® LR 3065/50 A,,13,google,gemini-2.5-flash,7577,2362,0,31965,,"No CAS numbers were found in the document, as Section 3.2 indicates that specific chemical identities may be withheld as a trade secret or are below reporting limits.; The product is described as both 'liquid' and 'paste' in Section 9.1. 'Paste' was chosen as the more specific physical form."
